year,month,day_endofweek,countyfips,emp,emp_ss40,emp_ss60,emp_ss65,emp_ss70,emp_wage_q1,emp_wage_q2,emp_wage_q3,emp_wage_q4,emp_s,emp_ss40_s,emp_ss60_s,emp_ss65_s,emp_ss70_s,emp_wage_q1_s,emp_wage_q2_s,emp_wage_q3_s,emp_wage_q4_s
2026,1,10,10001,0.016722187712802095,-0.1344580164944129,0.42070537896120874,0.036091593518150944,-0.4221459341691566,-0.18741475493201498,0.31745718344207674,-0.055572495034414526,0.013472707345830948,0.007542553812229791,-0.14181719796694614,0.36460990438513097,0.017761487351845462,-0.411770145641404,-0.18453328991163387,0.2911859174088036,-0.055139899410223014,0.058720025776831664
2026,1,10,10003,-0.0020888158764920117,-0.14130667091134663,0.16120703136602077,0.004291889170944696,-0.16858432955093205,-0.08545871304033947,0.010766606585937755,0.06243933751929731,-0.02635145553553775,-0.006967828845608093,-0.14752345328534922,0.1683110409527262,0.0032025007876164135,-0.15935477283055866,-0.07657887475306657,0.024487670050554966,0.034985505781488735,-0.027356462213836696
2026,1,10,10005,-0.05936025384327481,0.028016136160251115,0.013933301943364507,0.32243798944033286,-0.1791758329403642,-0.25459486742687476,-0.06344683224116299,0.18692056803660928,0.21607266394601887,-0.04759599710301021,0.013488681029005356,0.02415926856506756,0.3156417038868875,-0.10494249626685603,-0.18023880084307387,-0.05710373673581659,0.15410440133493086,0.2579274734387167
2026,1,10,1001,13.182167498864631,.,1.2430419921874996,.,.,-0.47040615541010533,.,.,.,.,.,1.2442813260625036,.,.,-0.4370828231350242,.,.,.
2026,1,10,1003,0.0749377448980697,0.1572581535808406,0.18476039772465724,-0.21401849743545276,-0.019378697946114687,-0.0522356779329356,0.1469487439120183,0.2015192888003956,1.4829437913280308,0.06411625163730661,0.2102681722108768,0.19095236480405808,-0.18023095136534173,-0.011927504718126536,0.005460286486402621,0.09064009031148523,0.23845337772148878,1.2669866228064426
2026,1,10,1005,-0.6089212042517322,.,.,.,-0.5666354804117022,-0.8404296922246118,.,.,.,-0.6186729042467146,.,.,.,-0.5742818316628558,-0.8759696794868521,.,.,.
2026,1,10,1007,0.12543267276167702,.,0.037858621709556006,-0.5535714285714285,.,.,.,.,-0.5777556532376004,0.1205878306515884,.,-0.009753888458521764,-0.5577092288213981,.,.,.,.,-0.35942457719766163
2026,1,10,1009,-0.01909360388491821,-0.16045569283911232,-0.27272727272727293,0.6213956431347711,.,-0.1731843808672322,0.015847755534974528,.,0.421329226098651,-0.01912163852366333,-0.16444631102679608,-0.27375660577558225,0.6199280123346773,.,-0.15846578751144558,-0.10362077917647583,.,0.40399364880654565
2026,1,10,1015,1.727968453570068,.,-0.031249999999999778,0.6843220338983043,.,0.680237794907822,-0.3226414597273275,-0.35847697240312604,.,1.6637570579149417,.,-0.03148027054428426,0.7569265292038239,.,0.861361226704145,-0.34713875718750553,-0.37191739177205896,.
2026,1,10,1017,0.28305785123966865,.,.,.,.,0.3194444444444442,-0.1000000000000002,.,.,0.1352276566760373,.,.,.,.,0.3145032944210291,-0.2952760158034511,.,.
2026,1,10,1019,1.0922677063027924,.,.,.,.,1.1377410468319566,.,.,0.5,1.1351442524973572,.,.,.,.,1.238673712159501,.,.,0.5000182684000967
2026,1,10,1021,0.0659038550949258,.,.,-0.061111111111110006,.,-0.04671649298783198,0.04308168386198585,0.040521091082852845,.,0.05311491362310816,.,.,-0.06254204679582165,.,-0.01877159356499869,0.0024132024071428226,0.05860106928551967,.
